route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
R4,169990314154181,14154181, ,10907,0, , 
R21,169991814154195,14154195, ,25307,0, , 
S11,169997114154239,14154239, ,25233,0, , 
R22,169901714153418,14153418, ,912085,0, , 
R3,169882014153248,14153248, ,912941,0, , 
S4,169884014153267,14153267, ,902750,0, , 
R17,169875314153186,14153186, ,902121,0, , 
S4,169876314153194,14153194, ,902716,0, , 
S2,170066914154845,14154845, ,24266,0, , 
S6,170068414154855,14154855, ,24606,0, , 
S11,170071114154879,14154879, ,25257,0, , 
S2,170054314154734,14154734, ,24273,0, , 
S2,170062814154808,14154808, ,24257,0, , 
S2,170043714154642,14154642, ,24269,0, , 
RE80,170043814154643,14154643, ,25200,0, , 
S2,170007814154325,14154325, ,24238,0, , 
S11,170022314154449,14154449, ,25225,0, , 
RE2,170032914154543,14154543, ,2260,0, , 
S11,170015714154391,14154391, ,25271,0, , 
S6,170010514154347,14154347, ,24694,0, , 
S2,169935414153691,14153691, ,24270,0, , 
R31,169930914153652,14153652, ,10067,0, , 
S5,170112114155241,14155241, ,24585,0, , 
S11,170102814155159,14155159, ,25255,0, , 
S11,170103214155161,14155161, ,25235,0, , 
S2,170072414154891,14154891, ,24251,0, , 
RE80,170081614154972,14154972, ,25548,0, , 
S11,170096914155105,14155105, ,25221,0, , 
S2,170090714155051,14155051, ,24260,0, , 
S4,169838614152872,14152872, ,902752,0, , 
R22,169833014152822,14152822, ,902030,0, , 
R22,169827314152770,14152770, ,912021,0, , 
R22,169835714152844,14152844, ,902014,0, , 
R17,169829114152787,14152787, ,902185,0, , 
R4,169976314154055,14154055, ,10905,0, , 
S11,169980014154087,14154087, ,25243,0, , 
R6,169970914154006,14154006, ,10647,0, , 
S6,169960614153915,14153915, ,24605,0, , 
S7,169953214153852,14153852, ,24743,0, , 
R2,169967514153978,14153978, ,22638,0, , 
R23,169985114156757,14156757, ,10226,0, , 
R1,169964814156594,14156594, ,10107,0, , 
R34,169950514156481,14156481, ,10479,0, , 
S40,169950614156482,14156482, ,25434,0, , 
S8,169975114156677,14156677, ,24858,0, , 
S1,169976014156684,14156684, ,24120,0, , 
R11,169954114156513,14156513, ,10163,0, , 
R31,169941714156409,14156409, ,10066,0, , 
S1,169943014156420,14156420, ,24135,0, , 
S9,169946614156452,14156452, ,24923,0, , 
S9,169949314156471,14156471, ,24934,0, , 
R27,169857014153035,14153035, ,902269,0, , 
S9,169937014156369,14156369, ,24970,0, , 
R40,169936814156367,14156367, ,10005,0, , 
R3,169855514153020,14153020, ,912976,0, , 
R23,170053014157304,14157304, ,10238,0, , 
R18,170053214157306,14157306, ,10431,0, , 
S5,170066514157418,14157418, ,24581,0, , 
R34,170053514157308,14157308, ,10473,0, , 
R18,170032814157146,14157146, ,10426,0, , 
R36,170047714157264,14157264, ,10699,0, , 
R11,170048014157267,14157267, ,10180,0, , 
R11,170041814157222,14157222, ,10171,0, , 
S1,170050814157285,14157285, ,24117,0, , 
R36,170022214157055,14157055, ,10674,0, , 
S40,170023714157068,14157068, ,25432,0, , 
S40,170029314157119,14157119, ,25476,0, , 
S11,170006214156922,14156922, ,25018,0, , 
S1,170006514156925,14156925, ,24125,0, , 
R23,169990514156801,14156801, ,10234,0, , 
R1,169999314156869,14156869, ,10114,0, , 
R35,170017514157015,14157015, ,10562,0, , 
R36,170010814156957,14156957, ,10685,0, , 
R31,170011614156964,14156964, ,10021,0, , 
R34,170019314157032,14157032, ,10452,0, , 
R13,170004414156906,14156906, ,10307,0, , 
R27,169849814155751,14155751, ,901255,0, , 
S9,170109414157777,14157777, ,24918,0, , 
S9,169830614155606,14155606, ,931474,0, , 
S5,170109614157779,14157779, ,24536,0, , 
S9,169826914155578,14155578, ,931430,0, , 
R27,170113814157807,14157807, ,901245,0, , 
RE3,169806414155433,14155433, ,909901,0, , 
R21,170099314157690,14157690, ,25322,0, , 
R2,170099014157688,14157688, ,22621,0, , 
R34,170104414157729,14157729, ,10466,0, , 
R35,170105014157735,14157735, ,10580,0, , 
S9,170076914157501,14157501, ,24968,0, , 
RE8,170069114157436,14157436, ,2811,0, , 
R34,170078314157512,14157512, ,10468,0, , 
S8,170085214157570,14157570, ,24816,0, , 
S9,170079214157521,14157521, ,24986,0, , 
R31,170087614157591,14157591, ,10025,0, , 
R37,170095514157657,14157657, ,10780,0, , 
S7,170089214157604,14157604, ,24722,0, , 
RE8,170097714157677,14157677, ,2857,0, , 
R34,169996214159056,14159056, ,10471,0, , 
S10,170016114159182,14159182, ,25156,0, , 
S13,170016414159184,14159184, ,24348,0, , 
S7,170017614159191,14159191, ,24737,0, , 
R1,170018014159194,14159194, ,10120,0, , 
S1,170019714159205,14159205, ,24026,0, , 
S5,170019914159207,14159207, ,24565,0, , 
R1,170020814159215,14159215, ,10116,0, , 
S6,170023114159228,14159228, ,24681,0, , 
